Frase,Autor,Cat1,Cat2,Cat3,Cat4
"Ayuda a tus semejantes a levantar su carga, pero no te consideres obligado a llevársela.",Pitágoras de Samos (582 AC-497 AC) Filósofo y matemático griego.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,PENSAR,
"Si no actúas como piensas, vas a terminar pensando como actúas.","Blaise Pascal (1623-1662) Científico, filósofo y escritor francés.",CUALIDADES,PERSEVERANCIA,,
"El sabio no dice todo lo que piensa, pero siempre piensa todo lo que dice.",Aristóteles (384 AC-322 AC) Filósofo griego.,SENTIMIENTOS,FELICIDAD,,
¡Caer está permitido. Levantarse es obligatorio!.,Proverbio ruso,NATURALEZA,VIDA,,
Mi felicidad consiste en que sé apreciar lo que tengo y no deseo con exceso lo que no tengo.,Leon Tolstoi (1828-1910) Escritor ruso.,SENTIMIENTOS,AMISTAD,,
"Aprendí que no se puede dar marcha atrás, que la esencia de la vida es ir hacia adelante. La vida, en realidad, es una calle de sentido único.",Agatha Christie (1891-1976) Novelista inglesa.,SENTIMIENTOS,AMOR,CORAZÓN,
La amistad no puede ir muy lejos cuando ni unos ni otros están dispuestos a perdonarse los pequeños defectos.,Jean de la Bruyere (1645-1696) Escritor francés.,SENTIMIENTOS,RISA,,
"A un gran corazón, ninguna ingratitud lo cierra, ninguna indiferencia lo cansa.",Leon Tolstoi (1828-1910) Escritor ruso.,NATURALEZA,VIDA,,
La risa es el sol que ahuyenta el invierno del rostro humano.,Victor Hugo (1802-1885) Novelista francés.,MISCELÁNEA,LLORAR,,
"La vida no se ha hecho para comprenderla, sino para vivirla.",George Santayana (1863-1952) Filósofo y escritor español.,SENTIMIENTOS,AMOR,BESOS,
"Si lloras por haber perdido el sol, las lágrimas no te dejarán ver las estrellas.",Rabindranath Tagore (1861-1941) Filósofo y escritor indio.,SOCIEDAD,MUJERES,,
"El primer beso es mágico, el segundo íntimo, el tercero rutinario.",Raymond Chandler (1888-1959) Escritor estadounidense de novela policiaca.,CUALIDADES,PRUDENCIA,,
"Las mujeres han sido hechas para ser amadas, no para ser comprendidas.",Oscar Wilde (1854-1900) Dramaturgo y novelista irlandés.,SENTIMIENTOS,AMOR,BESOS,
Es prudente no fiarse por entero de quienes nos han engañado una vez.,René Descartes (1596-1650) Filósofo y matemático francés.,PENSAMIENTO Y RAZÓN,DESEO,,
"Los besos son como pepitas de oro o de plata, halladas en tierra y sin un gran valor, pero preciosas porque revelan que cerca hay una mina.",George Villiers (1592-1628) Duque de Buckingham. Político inglés.,SENTIMIENTOS,FELICIDAD,,
Cuando alguien desea algo debe saber que corre riesgos y por eso la vida vale la pena.,Paulo Coelho (1947-?) Escritor brasileño.,SENTIMIENTOS,FELICIDAD,,
"La suprema felicidad de la vida es saber que eres amado por ti mismo o, más exactamente, a pesar de ti mismo.",Victor Hugo (1802-1885) Novelista francés.,SENTIMIENTOS,AMOR,DESENGAÑOS AMOROSOS,
La felicidad es la certeza de no sentirse perdido.,Jorge Bucay (1949-?) Escritor y psicoterapeuta argentino.,SENTIMIENTOS,NOSTALGIA,,
"Nos equivocamos a menudo en el amor, a menudo herido, a menudo infeliz, pero soy yo quien vivió, y no un ser ficticio, creado por mi orgullo.",George Sand (1804-1876) Escritora francesa.,SENTIMIENTOS,AMOR,CORAZÓN,
No hay nostalgia peor que añorar lo que nunca jamás sucedió.,Joaquín Sabina (1949-?) Cantautor y poeta español.,SENTIMIENTOS,ESPERANZA,,
La peor de las prisiones sería un corazón cerrado y endurecido.,Juan Pablo II (1920-2005) Papa de la iglesia católica.,CUALIDADES,PUNTUALIDAD,,
"Si ayudo a una sola persona a tener esperanza, no habré vivido en vano.",Martin Luther King (1929-1968) Religioso estadounidense.,SENTIMIENTOS,AMOR,CORAZÓN,
"Procuro ser siempre muy puntual, pues he observado que los defectos de una persona se reflejan muy vivamente en la memoria de quien la espera.",Nicolas Boileau (1636-1711) Poeta y crítico literario francés.,SOCIEDAD,POLÍTICA,,
"El corazón humano es un instrumento de muchas cuerdas; el perfecto conocedor de los hombres las sabe hacer vibrar todas, como un buen músico.",Charles Dickens (1812-1870) Escritor y novelista inglés.,SENTIMIENTOS,AMOR,,
"La política es el arte de buscar problemas, encontrarlos, hacer un diagnóstico falso y aplicar después los remedios equivocados.",Groucho Marx (1890-1977) Actor estadounidense.,SENTIMIENTOS,AMOR,INFIDELIDAD,
